edge_id	source	target	color_set
e000001	n000001	n000002	
e000002	n000002	n000003	
e000003	n000003	n000004	0
e000004	n000004	n000013	0
e000005	n000005	n000014	0,1
e000006	n000006	n000015	1
e000007	n000007	n000016	0
e000008	n000008	n000005	0
e000009	n000010	n000008	0
e000010	n000011	n000009	1
e000011	n000012	n000010	0
e000012	n000013	n000011	1
e000013	n000013	n000012	0
e000014	n000014	n000023	0,1
e000015	n000015	n000024	1
e000016	n000016	n000025	0
e000017	n000017	n000005	1
e000018	n000018	n000017	1
e000019	n000019	n000018	1
e000020	n000020	n000019	1
e000021	n000021	n000022	0
e000022	n000023	n000026	0,1
e000023	n000024	n000027	1
e000024	n000025	n000028	0
e000025	n000026	n000005	0,1
e000026	n000026	n000006	1
e000027	n000026	n000007	0
e000028	n000027	n000013	1
e000029	n000028	n000020	1
e000030	n000028	n000021	0
e000031	n000029	n000028	1
e000032	n000030	n000029	1
