read_id	sample_id	genome_id	ambiguous
sample_A_strain_A_0000	sample_A	strain_A	no
sample_A_strain_A_0001	sample_A	strain_A	no
sample_A_strain_A_0002	sample_A	strain_A	no
sample_A_strain_A_0003	sample_A	strain_A	no
sample_A_strain_A_0004	sample_A	strain_A	no
sample_A_strain_A_0005	sample_A	strain_A	no
sample_A_strain_A_0006	sample_A	strain_A	no
sample_A_strain_A_0007	sample_A	strain_A	no
sample_A_strain_A_0008	sample_A	strain_A	no
sample_A_strain_A_0009	sample_A	strain_A	no
sample_A_strain_A_0010	sample_A	strain_A	no
sample_A_strain_A_0011	sample_A	strain_A	no
sample_A_strain_A_0012	sample_A	strain_A	no
sample_A_strain_A_0013	sample_A	strain_A	no
sample_A_strain_A_0014	sample_A	strain_A	no
sample_A_strain_A_0015	sample_A	strain_A	no
sample_A_strain_A_0016	sample_A	strain_A	no
sample_A_strain_A_0017	sample_A	strain_A	no
sample_A_strain_A_0018	sample_A	strain_A	no
sample_A_strain_A_0019	sample_A	strain_A	no
sample_B_strain_B_0000	sample_B	strain_B	no
sample_B_strain_B_0001	sample_B	strain_B	no
sample_B_strain_B_0002	sample_B	strain_B	no
sample_B_strain_B_0003	sample_B	strain_B	no
sample_B_strain_B_0004	sample_B	strain_B	no
sample_B_strain_B_0005	sample_B	strain_B	no
sample_B_strain_B_0006	sample_B	strain_B	no
sample_B_strain_B_0007	sample_B	strain_B	no
sample_B_strain_B_0008	sample_B	strain_B	no
sample_B_strain_B_0009	sample_B	strain_B	no
sample_B_strain_B_0010	sample_B	strain_B	no
sample_B_strain_B_0011	sample_B	strain_B	no
sample_B_strain_B_0012	sample_B	strain_B	no
sample_B_strain_B_0013	sample_B	strain_B	no
sample_B_strain_B_0014	sample_B	strain_B	no
sample_B_strain_B_0015	sample_B	strain_B	no
sample_B_strain_B_0016	sample_B	strain_B	no
sample_B_strain_B_0017	sample_B	strain_B	no
sample_B_strain_B_0018	sample_B	strain_B	no
sample_B_strain_B_0019	sample_B	strain_B	no
