read_id	sample_id	genome_id	ambiguous
sample_A_strain_A_0000	sample_A	strain_A	no
sample_A_strain_A_0001	sample_A	strain_A	no
sample_A_strain_A_0002	sample_A	strain_A	no
sample_A_strain_A_0003	sample_A	strain_A	no
sample_A_strain_A_0004	sample_A	strain_A	no
sample_A_strain_A_0005	sample_A	strain_A	no
sample_B_strain_B_0000	sample_B	strain_B	no
sample_B_strain_B_0001	sample_B	strain_B	no
sample_B_strain_B_0002	sample_B	strain_B	no
sample_B_strain_B_0003	sample_B	strain_B	no
sample_B_strain_B_0004	sample_B	strain_B	no
sample_B_strain_B_0005	sample_B	strain_B	no
